Domain,Type,Sponsoring Organisation,Date
.luxe,generic,Top Level Domain Holdings Limited,2025-02-06
.luxury,generic,Luxury Partners LLC,2025-02-06
.madrid,generic,Comunidad de Madrid,2025-02-06
.maif,generic,Mutuelle Assurance Instituteur France (MAIF),2025-02-06
.maison,generic,"Victor Frostbite, LLC",2025-02-06
.management,generic,"John Goodbye, LLC",2025-02-06
.mango,generic,PUNTO FA S.L.,2025-02-06
.market,generic,"Unitied TLD Holdco, Ltd",2025-02-06
.marketing,generic,"Fern Pass, LLC",2025-02-06
.markets,generic,DOTMARKETS REGISTRY LTD,2025-02-06
.marriott,generic,Marriott Worldwide Corporation,2025-02-06
.media,generic,"Grand Glen, LLC",2025-02-06
.meet,generic,Afilias Limited,2025-02-06
.melbourne,generic,"The Crown in right of the State of Victoria, represented by its Department of State Development, Business and Innovation",2025-02-06
.meme,generic,Charleston Road Registry Inc.,2025-02-06
.memorial,generic,"Dog Beach, LLC",2025-02-06
.menu,generic,"Wedding TLD2, LLC",2025-02-06
.miami,generic,Top Level Domain Holdings Limited,2025-02-06
.mini,generic,Bayerische Motoren Werke Aktiengesellschaft,2025-02-06
.mma,generic,MMA IARD,2025-02-06
.moda,generic,United TLD Holdco Ltd.,2025-02-06
.moe,generic,"Interlink Co., Ltd.",2025-02-06
.monash,generic,Monash University,2025-02-06
.money,generic,"Outer McCook, LLC",2025-02-06
.mormon,generic,"IRI Domain Management, LLC (""Applicant"")",2025-02-06
.mortgage,generic,"United TLD Holdco, Ltd",2025-02-06
.moscow,generic,Foundation for Assistance for Internet Technologies and Infrastructure Development (FAITID),2025-02-06
.motorcycles,generic,"DERMotorcycles, LLC",2025-02-06
.mov,generic,Charleston Road Registry Inc.,2025-02-06
.movie,generic,"New Frostbite, LLC",2025-02-06
.mtn,generic,MTN Dubai Limited,2025-02-06
.mtpc,generic,Mitsubishi Tanabe Pharma Corporation,2025-02-06
.nagoya,generic,"GMO Registry, Inc.",2025-02-06
.navy,generic,United TLD Holdco Ltd.,2025-02-06
.net,generic,VeriSign Global Registry Services,2025-02-06
.network,generic,"Trixy Manor, LLC",2025-02-06
.neustar,generic,"NeuStar, Inc.",2025-02-06
.new,generic,Charleston Road Registry Inc.,2025-02-06
.news,generic,United TLD Holdco Ltd.,2025-02-06
.nexus,generic,Charleston Road Registry Inc.,2025-02-06
.ngo,generic,Public Interest Registry,2025-02-06
.nhk,generic,Japan Broadcasting Corporation (NHK),2025-02-06
.nico,generic,"DWANGO Co., Ltd.",2025-02-06
.ninja,generic,United TLD Holdco Ltd.,2025-02-06
.nissan,generic,"NISSAN MOTOR CO., LTD.",2025-02-06
.nra,generic,"NRA Holdings Company, INC.",2025-02-06
.nrw,generic,Minds + Machines GmbH,2025-02-06
.ntt,generic,NIPPON TELEGRAPH AND TELEPHONE CORPORATION,2025-02-06
.nyc,generic,The City of New York by and through the New York City Department of Information Technology & Telecommunications,2025-02-06
.okinawa,generic,BusinessRalliart inc.,2025-02-06
.one,generic,One.com A/S,2025-02-06
.ong,generic,Public Interest Registry,2025-02-06
.onl,generic,"I-REGISTRY Ltd., Niederlassung Deutschland",2025-02-06
.online,generic,DotOnline Inc.,2025-02-06
.ooo,generic,INFIBEAM INCORPORATION LIMITED,2025-02-06
.org,generic,Public Interest Registry (PIR),2025-02-06
.organic,generic,Afilias Limited,2025-02-06
.osaka,generic,"Interlink Co., Ltd.",2025-02-06
.otsuka,generic,"Otsuka Holdings Co., Ltd.",2025-02-06
.ovh,generic,OVH SAS,2025-02-06
.page,generic,Charleston Road Registry Inc.,2025-02-06
.panerai,generic,Richemont DNS Inc.,2025-02-06
.paris,generic,City of Paris,2025-02-06
.partners,generic,"Magic Glen, LLC",2025-02-06
.parts,generic,"Sea Goodbye, LLC",2025-02-06
.party,generic,Blue Sky Registry Limited,2025-02-06
.pharmacy,generic,National Association of Boards of Pharmacy,2025-02-06
.photo,generic,"Uniregistry, Corp.",2025-02-06
.photography,generic,"Sugar Glen, LLC",2025-02-06
.photos,generic,"Sea Corner, LLC",2025-02-06
.physio,generic,PhysBiz Pty Ltd,2025-02-06
.piaget,generic,Richemont DNS Inc.,2025-02-06
.pics,generic,"Uniregistry, Corp.",2025-02-06
.pictet,generic,Pictet Europe S.A.,2025-02-06
.pictures,generic,"Foggy Sky, LLC",2025-02-06
.pink,generic,Afilias Limited,2025-02-06
.pizza,generic,"Foggy Moon, LLC",2025-02-06
.place,generic,"Snow Galley, LLC",2025-02-06
.plumbing,generic,"Spring Tigers, LLC",2025-02-06
.plus,generic,"Sugar Mill, LLC",2025-02-06
.pohl,generic,Deutsche Vermögensberatung Aktiengesellschaft DVAG,2025-02-06
.poker,generic,Afilias Domains No. 5 Limited,2025-02-06
.porn,generic,ICM Registry PN LLC,2025-02-06
.praxi,generic,Praxi S.p.A.,2025-02-06
.press,generic,DotPress Inc.,2025-02-06
.prod,generic,Charleston Road Registry Inc.,2025-02-06
.productions,generic,"Magic Birch, LLC",2025-02-06
.prof,generic,Charleston Road Registry Inc.,2025-02-06
.properties,generic,"Big Pass, LLC",2025-02-06
.property,generic,"Uniregistry, Corp.",2025-02-06
.pub,generic,United TLD Holdco Ltd.,2025-02-06
.qpon,generic,"dotCOOL, Inc.",2025-02-06
.quebec,generic,PointQuébec Inc,2025-02-06
.racing,generic,Premier Registry Limited,2025-02-06
.realtor,generic,Real Estate Domains LLC,2025-02-06
.recipes,generic,"Grand Island, LLC",2025-02-06
.red,generic,Afilias Limited,2025-02-06
.redstone,generic,"Redstone Haute Couture Co., Ltd.",2025-02-06
.rehab,generic,United TLD Holdco Ltd.,2025-02-06
.reise,generic,dotreise GmbH,2025-02-06
.reisen,generic,"New Cypress, LLC",2025-02-06
.reit,generic,"National Association of Real Estate Investment Trusts, Inc.",2025-02-06
.ren,generic,"Beijing Qianxiang Wangjing Technology Development Co., Ltd.",2025-02-06
.rentals,generic,"Big Hollow,LLC",2025-02-06
.repair,generic,"Lone Sunset, LLC",2025-02-06
.report,generic,"Binky Glen, LLC",2025-02-06
.republican,generic,United TLD Holdco Ltd.,2025-02-06
.rest,generic,Punto 2012 Sociedad Anonima Promotora de Inversion de Capital Variable,2025-02-06
.restaurant,generic,"Snow Avenue, LLC",2025-02-06
.review,generic,dot Review Limited,2025-02-06
.reviews,generic,"United TLD Holdco, Ltd.",2025-02-06
.rich,generic,"I-REGISTRY Ltd., Niederlassung Deutschland",2025-02-06
.rio,generic,Empresa Municipal de Informática SA - IPLANRIO,2025-02-06
.rip,generic,United TLD Holdco Ltd.,2025-02-06
.rocks,generic,"United TLD Holdco, LTD.",2025-02-06
.rodeo,generic,Top Level Domain Holdings Limited,2025-02-06
.rsvp,generic,Charleston Road Registry Inc.,2025-02-06
.ruhr,generic,regiodot GmbH & Co. KG,2025-02-06
.ryukyu,generic,BusinessRalliart inc.,2025-02-06
.saarland,generic,dotSaarland GmbH,2025-02-06
.sale,generic,"United TLD Holdco, Ltd",2025-02-06
.samsung,generic,"SAMSUNG SDS CO., LTD",2025-02-06
.sap,generic,SAP AG,2025-02-06
.sarl,generic,"Delta Orchard, LLC",2025-02-06
.saxo,generic,Saxo Bank A/S,2025-02-06
.sca,generic,SVENSKA CELLULOSA AKTIEBOLAGET SCA (publ),2025-02-06
.scb,generic,"The Siam Commercial Bank Public Company Limited (""SCB"")",2025-02-06
.schmidt,generic,SALM S.A.S.,2025-02-06
.scholarships,generic,"Scholarships.com, LLC",2025-02-06
.school,generic,"Little Galley, LLC",2025-02-06
.schule,generic,"Outer Moon, LLC",2025-02-06
.schwarz,generic,Schwarz Domains und Services GmbH & Co. KG,2025-02-06
.science,generic,dot Science Limited,2025-02-06
.scot,generic,Dot Scot Registry Limited,2025-02-06
.services,generic,"Fox Castle, LLC",2025-02-06
.sew,generic,SEW-EURODRIVE GmbH & Co KG,2025-02-06
.sexy,generic,"Uniregistry, Corp.",2025-02-06
.shiksha,generic,Afilias Limited,2025-02-06
.shoes,generic,"Binky Galley, LLC",2025-02-06
.shriram,generic,Shriram Capital Ltd.,2025-02-06
.singles,generic,"Fern Madison, LLC",2025-02-06
.site,generic,DotSite Inc.,2025-02-06
.sky,generic,"Sky IP International Ltd, a company incorporated in England and Wales, operating via its registered Swiss branch",2025-02-06
.social,generic,United TLD Holdco Ltd.,2025-02-06
.software,generic,"United TLD Holdco, Ltd",2025-02-06
.sohu,generic,Sohu.com Limited,2025-02-06
.solar,generic,"Ruby Town, LLC",2025-02-06
.solutions,generic,"Silver Cover, LLC",2025-02-06
.soy,generic,Charleston Road Registry Inc.,2025-02-06
.space,generic,DotSpace Inc.,2025-02-06
.spiegel,generic,SPIEGEL-Verlag Rudolf Augstein GmbH & Co. KG,2025-02-06
.spreadbetting,generic,DOTSPREADBETTING REGISTRY LTD,2025-02-06
.study,generic,OPEN UNIVERSITIES AUSTRALIA PTY LTD,2025-02-06
.style,generic,"Binky Moon, LLC",2025-02-06
.sucks,generic,Vox Populi Registry Inc.,2025-02-06
.supplies,generic,"Atomic Fields, LLC",2025-02-06
.supply,generic,"Half Falls, LLC",2025-02-06
.support,generic,"Grand Orchard, LLC",2025-02-06
.surf,generic,Top Level Domain Holdings Limited,2025-02-06
.surgery,generic,"Tin Avenue, LLC",2025-02-06
.suzuki,generic,SUZUKI MOTOR CORPORATION,2025-02-06
.sydney,generic,"State of New South Wales, Department of Premier and Cabinet",2025-02-06
.systems,generic,"Dash Cypress, LLC",2025-02-06
.taipei,generic,Taipei City Government,2025-02-06
.tatar,generic,"Limited Liability Company ""Coordination Center of Regional Domain of Tatarstan Republic""",2025-02-06
.tattoo,generic,"Uniregistry, Corp.",2025-02-06
.tax,generic,"Storm Orchard, LLC",2025-02-06
.tech,generic,Dot Tech LLC,2025-02-06
.technology,generic,"Auburn Falls, LLC",2025-02-06
