Domain,Type,Sponsoring Organisation,Date
.lawyer,generic,"United TLD Holdco, Ltd",2025-02-04
.lds,generic,"IRI Domain Management, LLC",2025-02-04
.lease,generic,"Victor Trail, LLC",2025-02-04
.leclerc,generic,A.C.D. LEC Association des Centres Distributeurs Edouard Leclerc,2025-02-04
.legal,generic,"Blue Falls, LLC",2025-02-04
.lgbt,generic,Afilias Limited,2025-02-04
.lidl,generic,Schwarz Domains und Services GmbH & Co. KG,2025-02-04
.life,generic,"Trixy Oaks, LLC",2025-02-04
.lighting,generic,"John McCook, LLC",2025-02-04
.limited,generic,"Big Fest, LLC",2025-02-04
.limo,generic,"Hidden Frostbite, LLC",2025-02-04
.link,generic,"Uniregistry, Corp.",2025-02-04
.loan,generic,dot Loan Limited,2025-02-04
.loans,generic,"June Woods, LLC",2025-02-04
.london,generic,Dot London Domains Limited,2025-02-04
.lotte,generic,"Lotte Holdings Co., Ltd.",2025-02-04
.lotto,generic,Afilias Limited,2025-02-04
.love,generic,Merchant Law Group LLP,2025-02-04
.ltda,generic,InterNetX Corp.,2025-02-04
.luxe,generic,Top Level Domain Holdings Limited,2025-02-04
.luxury,generic,Luxury Partners LLC,2025-02-04
.madrid,generic,Comunidad de Madrid,2025-02-04
.maif,generic,Mutuelle Assurance Instituteur France (MAIF),2025-02-04
.maison,generic,"Victor Frostbite, LLC",2025-02-04
.management,generic,"John Goodbye, LLC",2025-02-04
.mango,generic,PUNTO FA S.L.,2025-02-04
.market,generic,"Unitied TLD Holdco, Ltd",2025-02-04
.marketing,generic,"Fern Pass, LLC",2025-02-04
.markets,generic,DOTMARKETS REGISTRY LTD,2025-02-04
.marriott,generic,Marriott Worldwide Corporation,2025-02-04
.media,generic,"Grand Glen, LLC",2025-02-04
.meet,generic,Afilias Limited,2025-02-04
.melbourne,generic,"The Crown in right of the State of Victoria, represented by its Department of State Development, Business and Innovation",2025-02-04
.meme,generic,Charleston Road Registry Inc.,2025-02-04
.memorial,generic,"Dog Beach, LLC",2025-02-04
.menu,generic,"Wedding TLD2, LLC",2025-02-04
.miami,generic,Top Level Domain Holdings Limited,2025-02-04
.mini,generic,Bayerische Motoren Werke Aktiengesellschaft,2025-02-04
.mma,generic,MMA IARD,2025-02-04
.moda,generic,United TLD Holdco Ltd.,2025-02-04
.moe,generic,"Interlink Co., Ltd.",2025-02-04
.monash,generic,Monash University,2025-02-04
.money,generic,"Outer McCook, LLC",2025-02-04
.mormon,generic,"IRI Domain Management, LLC (""Applicant"")",2025-02-04
.mortgage,generic,"United TLD Holdco, Ltd",2025-02-04
.moscow,generic,Foundation for Assistance for Internet Technologies and Infrastructure Development (FAITID),2025-02-04
.motorcycles,generic,"DERMotorcycles, LLC",2025-02-04
.mov,generic,Charleston Road Registry Inc.,2025-02-04
.movie,generic,"New Frostbite, LLC",2025-02-04
.mtn,generic,MTN Dubai Limited,2025-02-04
.mtpc,generic,Mitsubishi Tanabe Pharma Corporation,2025-02-04
.nagoya,generic,"GMO Registry, Inc.",2025-02-04
.navy,generic,United TLD Holdco Ltd.,2025-02-04
.net,generic,VeriSign Global Registry Services,2025-02-04
.network,generic,"Trixy Manor, LLC",2025-02-04
.neustar,generic,"NeuStar, Inc.",2025-02-04
.new,generic,Charleston Road Registry Inc.,2025-02-04
.news,generic,United TLD Holdco Ltd.,2025-02-04
.nexus,generic,Charleston Road Registry Inc.,2025-02-04
.ngo,generic,Public Interest Registry,2025-02-04
.nhk,generic,Japan Broadcasting Corporation (NHK),2025-02-04
.nico,generic,"DWANGO Co., Ltd.",2025-02-04
.ninja,generic,United TLD Holdco Ltd.,2025-02-04
.nissan,generic,"NISSAN MOTOR CO., LTD.",2025-02-04
.nra,generic,"NRA Holdings Company, INC.",2025-02-04
.nrw,generic,Minds + Machines GmbH,2025-02-04
.ntt,generic,NIPPON TELEGRAPH AND TELEPHONE CORPORATION,2025-02-04
.nyc,generic,The City of New York by and through the New York City Department of Information Technology & Telecommunications,2025-02-04
.okinawa,generic,BusinessRalliart inc.,2025-02-04
.one,generic,One.com A/S,2025-02-04
.ong,generic,Public Interest Registry,2025-02-04
.onl,generic,"I-REGISTRY Ltd., Niederlassung Deutschland",2025-02-04
.online,generic,DotOnline Inc.,2025-02-04
.ooo,generic,INFIBEAM INCORPORATION LIMITED,2025-02-04
.org,generic,Public Interest Registry (PIR),2025-02-04
.organic,generic,Afilias Limited,2025-02-04
.osaka,generic,"Interlink Co., Ltd.",2025-02-04
.otsuka,generic,"Otsuka Holdings Co., Ltd.",2025-02-04
.ovh,generic,OVH SAS,2025-02-04
.page,generic,Charleston Road Registry Inc.,2025-02-04
.panerai,generic,Richemont DNS Inc.,2025-02-04
.paris,generic,City of Paris,2025-02-04
.partners,generic,"Magic Glen, LLC",2025-02-04
.parts,generic,"Sea Goodbye, LLC",2025-02-04
.party,generic,Blue Sky Registry Limited,2025-02-04
.pharmacy,generic,National Association of Boards of Pharmacy,2025-02-04
.photo,generic,"Uniregistry, Corp.",2025-02-04
.photography,generic,"Sugar Glen, LLC",2025-02-04
.photos,generic,"Sea Corner, LLC",2025-02-04
.physio,generic,PhysBiz Pty Ltd,2025-02-04
.piaget,generic,Richemont DNS Inc.,2025-02-04
.pics,generic,"Uniregistry, Corp.",2025-02-04
.pictet,generic,Pictet Europe S.A.,2025-02-04
.pictures,generic,"Foggy Sky, LLC",2025-02-04
.pink,generic,Afilias Limited,2025-02-04
.pizza,generic,"Foggy Moon, LLC",2025-02-04
.place,generic,"Snow Galley, LLC",2025-02-04
.plumbing,generic,"Spring Tigers, LLC",2025-02-04
.plus,generic,"Sugar Mill, LLC",2025-02-04
.pohl,generic,Deutsche Vermögensberatung Aktiengesellschaft DVAG,2025-02-04
.poker,generic,Afilias Domains No. 5 Limited,2025-02-04
.porn,generic,ICM Registry PN LLC,2025-02-04
.praxi,generic,Praxi S.p.A.,2025-02-04
.press,generic,DotPress Inc.,2025-02-04
.prod,generic,Charleston Road Registry Inc.,2025-02-04
.productions,generic,"Magic Birch, LLC",2025-02-04
.prof,generic,Charleston Road Registry Inc.,2025-02-04
.properties,generic,"Big Pass, LLC",2025-02-04
.property,generic,"Uniregistry, Corp.",2025-02-04
.pub,generic,United TLD Holdco Ltd.,2025-02-04
.qpon,generic,"dotCOOL, Inc.",2025-02-04
.quebec,generic,PointQuébec Inc,2025-02-04
.racing,generic,Premier Registry Limited,2025-02-04
.realtor,generic,Real Estate Domains LLC,2025-02-04
.recipes,generic,"Grand Island, LLC",2025-02-04
.red,generic,Afilias Limited,2025-02-04
.redstone,generic,"Redstone Haute Couture Co., Ltd.",2025-02-04
.rehab,generic,United TLD Holdco Ltd.,2025-02-04
.reise,generic,dotreise GmbH,2025-02-04
.reisen,generic,"New Cypress, LLC",2025-02-04
.reit,generic,"National Association of Real Estate Investment Trusts, Inc.",2025-02-04
.ren,generic,"Beijing Qianxiang Wangjing Technology Development Co., Ltd.",2025-02-04
.rentals,generic,"Big Hollow,LLC",2025-02-04
.repair,generic,"Lone Sunset, LLC",2025-02-04
.report,generic,"Binky Glen, LLC",2025-02-04
.republican,generic,United TLD Holdco Ltd.,2025-02-04
.rest,generic,Punto 2012 Sociedad Anonima Promotora de Inversion de Capital Variable,2025-02-04
.restaurant,generic,"Snow Avenue, LLC",2025-02-04
.review,generic,dot Review Limited,2025-02-04
.reviews,generic,"United TLD Holdco, Ltd.",2025-02-04
.rich,generic,"I-REGISTRY Ltd., Niederlassung Deutschland",2025-02-04
.rio,generic,Empresa Municipal de Informática SA - IPLANRIO,2025-02-04
.rip,generic,United TLD Holdco Ltd.,2025-02-04
